id,labels,status,x,y,color
2018-1003-15/08/2019,,Side Swipe,138.6012948,-34.8647817,cyan
2018-1004-15/08/2019,,Rear End,138.7239638,-34.8053516,black
2018-1005-15/08/2019,,Hit Fixed Object,138.5917275,-34.874174,blue
2018-1006-15/08/2019,,Rear End,138.6573261,-34.9713362,black
2018-1007-15/08/2019,,Hit Fixed Object,138.7526141,-34.8364739,blue
2018-1008-15/08/2019,,Right Angle,138.6125452,-34.9350393,yellow
2018-1009-15/08/2019,,Left Road - Out of Control,138.7209815,-34.8597411,brown
2018-1010-15/08/2019,,Rear End,138.7490441,-34.596152,black
2018-1011-15/08/2019,,Hit Parked Vehicle,138.622992,-34.9437347,green
2018-1012-15/08/2019,,Right Angle,138.5651375,-34.9868782,yellow
2018-1013-15/08/2019,,Side Swipe,138.5639424,-34.9025305,cyan
2018-1014-15/08/2019,,Right Turn,138.6159701,-34.7376945,gray
2018-1015-15/08/2019,,Hit Fixed Object,138.7777728,-34.7223598,blue
2018-1016-15/08/2019,,Side Swipe,138.52975,-35.0411279,cyan
2018-1017-15/08/2019,,Right Angle,138.6668167,-34.7226526,yellow
2018-1018-15/08/2019,,Rear End,138.6001399,-34.8480239,black
2018-1019-15/08/2019,,Rear End,138.8938181,-35.0447706,black
2018-1020-15/08/2019,,Rear End,138.4833836,-34.8404322,black
2018-1021-15/08/2019,,Right Turn,138.6354903,-34.9641138,gray
2018-1022-15/08/2019,,Side Swipe,138.574489,-34.8326975,cyan
2018-1023-15/08/2019,,Rear End,138.6003258,-34.8495403,black
2018-1024-15/08/2019,,Rear End,138.5119465,-34.8675594,black
2018-1025-15/08/2019,,Right Angle,138.5254074,-34.9058562,yellow
2018-1026-15/08/2019,,Other,138.6362704,-34.8996541,orange
2018-1027-15/08/2019,,Rear End,138.5750158,-34.931579,black
2018-1028-15/08/2019,,Hit Parked Vehicle,138.4925433,-35.1330268,green
2018-1029-15/08/2019,,Side Swipe,138.6173662,-34.847342,cyan
2018-1030-15/08/2019,1,Side Swipe,138.7713176,-34.7184827,cyan
2018-1031-15/08/2019,,Right Angle,138.6192596,-34.8724098,yellow
2018-1032-15/08/2019,,Right Angle,138.4914266,-34.8460609,yellow
2018-1033-15/08/2019,,Right Angle,138.4833836,-34.8404322,yellow
2018-1034-15/08/2019,,Rear End,138.6910463,-34.6829663,black
2018-1035-15/08/2019,,Rear End,138.5401297,-35.0073303,black
2018-1036-15/08/2019,,Rear End,138.6387184,-34.82526,black
2018-1037-15/08/2019,,Rear End,138.6009827,-34.7375124,black
2018-1038-15/08/2019,,Side Swipe,138.5339337,-35.0297184,cyan
2018-1039-15/08/2019,,Hit Fixed Object,138.6194912,-34.8762947,blue
2018-1040-15/08/2019,,Head On,138.6045938,-34.7606323,ivory
2018-1041-15/08/2019,,Rear End,138.5990247,-34.834446,black
2018-1042-15/08/2019,,Hit Parked Vehicle,138.5099492,-35.1148746,green
2018-1043-15/08/2019,,Hit Fixed Object,138.5065902,-35.1277799,blue
2018-1044-15/08/2019,,Hit Fixed Object,138.6103032,-34.9884626,blue
2018-1045-15/08/2019,,Hit Fixed Object,137.7787398,-32.49425,blue
2018-1046-15/08/2019,,Hit Fixed Object,138.6910104,-34.835951,blue
2018-1047-15/08/2019,,Hit Fixed Object,138.4897093,-34.7868473,blue
2018-1048-15/08/2019,,Hit Fixed Object,138.6701056,-34.9247314,blue
2018-1049-15/08/2019,,Roll Over,138.6550135,-35.1321388,pink
2018-1050-15/08/2019,,Right Angle,138.6723434,-34.8432759,yellow
2018-1051-15/08/2019,,Right Angle,138.5040598,-34.9068878,yellow
2018-1052-15/08/2019,,Hit Pedestrian,138.5084322,-35.1644679,azure
2018-1053-15/08/2019,,Head On,139.0891762,-34.7047447,ivory
2018-1054-15/08/2019,,Hit Fixed Object,138.8530571,-34.8217356,blue
2018-1055-15/08/2019,,Hit Fixed Object,140.3490619,-34.23395,blue
2018-1056-15/08/2019,,Right Angle,138.5882291,-34.6682302,yellow
2018-1057-15/08/2019,,Rear End,138.4700287,-35.2638476,black
2018-1058-15/08/2019,,Hit Parked Vehicle,138.7325192,-34.5952203,green
2018-1059-15/08/2019,,Side Swipe,138.5960324,-34.9245985,cyan
2018-1060-15/08/2019,,Rear End,138.6353511,-34.8794827,black
2018-1061-15/08/2019,,Right Turn,138.490795,-34.9024392,gray
2018-1062-15/08/2019,,Right Angle,138.6159895,-34.7598178,yellow
2018-1063-15/08/2019,,Right Angle,138.5984025,-35.0760325,yellow
2018-1064-15/08/2019,,Hit Pedestrian,138.7721348,-35.5118636,azure
2018-1065-15/08/2019,,Hit Parked Vehicle,138.3546466,-34.4536201,green
2018-1066-15/08/2019,,Rear End,138.5581285,-35.0083545,black
2018-1067-15/08/2019,,Side Swipe,138.5326575,-34.8793848,cyan
2018-1068-15/08/2019,,Rear End,138.5880733,-34.930735,black
2018-1069-15/08/2019,,Right Angle,138.5889696,-34.9921517,yellow
2018-1070-15/08/2019,,Rear End,138.5539892,-34.9528941,black
2018-1071-15/08/2019,,Rear End,138.5056765,-35.151275,black
2018-1072-15/08/2019,,Hit Fixed Object,138.9478605,-33.6875505,blue
2018-1073-15/08/2019,,Right Turn,138.5490646,-34.9247059,gray
2018-1074-15/08/2019,,Roll Over,138.5497078,-34.73181,pink
2018-1075-15/08/2019,,Rear End,138.5963813,-34.7960214,black
2018-1076-15/08/2019,,Rear End,138.5176218,-34.9264332,black
2018-1077-15/08/2019,,Rear End,138.6752354,-34.7289026,black
2018-1078-15/08/2019,,Side Swipe,138.6083751,-34.9620016,cyan
2018-1079-15/08/2019,,Hit Fixed Object,138.7494835,-34.5424718,blue
2018-1080-15/08/2019,,Head On,138.6088692,-35.0644106,ivory
2018-1081-15/08/2019,,Rear End,138.5885078,-34.8436081,black
2018-1082-15/08/2019,,Rear End,138.6135907,-34.8730336,black
2018-1083-15/08/2019,,Right Angle,138.6153941,-34.8980646,yellow
2018-1084-15/08/2019,,Side Swipe,138.5519423,-34.9246603,cyan
2018-1085-15/08/2019,,Right Turn,138.6477313,-34.7612145,gray
2018-1086-15/08/2019,,Roll Over,138.688281,-34.6102654,pink
2018-1087-15/08/2019,,Hit Parked Vehicle,138.8821134,-34.9518512,green
2018-1088-15/08/2019,,Side Swipe,138.5477695,-34.9684606,cyan
2018-1089-15/08/2019,,Head On,138.6751283,-34.8697641,ivory
2018-1090-15/08/2019,,Rear End,138.4905009,-35.1173054,black
2018-1091-15/08/2019,,Hit Parked Vehicle,138.5707054,-34.9884148,green
2018-1092-15/08/2019,,Hit Animal,138.3383183,-34.4331771,pink
2018-1093-15/08/2019,,Hit Pedestrian,138.5365309,-34.879275,azure
2018-1094-15/08/2019,,Rear End,138.6708803,-34.845204,black
2018-1095-15/08/2019,,Right Turn,138.641473,-34.9269798,gray
2018-1096-15/08/2019,,Rear End,138.5924637,-34.9662703,black
2018-1097-15/08/2019,,Rear End,138.5924637,-34.9662703,black
2018-1098-15/08/2019,,Right Angle,138.5333161,-34.883037,yellow
2018-1099-15/08/2019,,Hit Fixed Object,138.703233,-34.6389645,blue
2018-1100-15/08/2019,,Rear End,138.5572596,-35.0353364,black
2018-1101-15/08/2019,,Rear End,140.8345143,-37.8566532,black
2018-1102-15/08/2019,,Hit Fixed Object,139.6764498,-35.4650166,blue
2018-1103-15/08/2019,,Hit Fixed Object,138.6772202,-34.9744471,blue
2018-1104-15/08/2019,,Hit Fixed Object,138.6382058,-34.8704511,blue
2018-1105-15/08/2019,,Right Angle,138.6372391,-34.929329,yellow
2018-1106-15/08/2019,,Side Swipe,138.6363008,-34.9540425,cyan
2018-1107-15/08/2019,,Right Angle,138.5357162,-34.925065,yellow
2018-1108-15/08/2019,,Right Angle,138.6229236,-34.9182342,yellow
2018-1109-15/08/2019,,Right Angle,138.6127683,-34.807594,yellow
2018-1110-15/08/2019,,Side Swipe,138.5838284,-34.8712947,cyan
2018-1111-15/08/2019,,Hit Fixed Object,138.6367127,-34.785381,blue
2018-1112-15/08/2019,,Rear End,138.5732828,-34.9723862,black
2018-1113-15/08/2019,,Side Swipe,138.5923343,-34.9096627,cyan
2018-1114-15/08/2019,,Side Swipe,138.6854655,-34.8318948,cyan
2018-1115-15/08/2019,,Rear End,138.4961558,-35.1799191,black
2018-1116-15/08/2019,,Right Angle,140.7765602,-37.8271156,yellow
2018-1117-15/08/2019,,Side Swipe,138.5146213,-34.9063754,cyan
2018-1118-15/08/2019,,Rear End,138.6073419,-34.760317,black
2018-1119-15/08/2019,,Hit Pedestrian,138.6294179,-34.9097658,azure
2018-1120-15/08/2019,,Roll Over,138.6798671,-34.7691123,pink
2018-1121-15/08/2019,,Side Swipe,138.6080144,-34.9239173,cyan
2018-1122-15/08/2019,,Right Turn,139.2744614,-35.1197136,gray
2018-1123-15/08/2019,,Side Swipe,138.5290589,-34.8544975,cyan
2018-1124-15/08/2019,,Side Swipe,138.5970363,-34.8049837,cyan
2018-1125-15/08/2019,,Rear End,138.6658428,-34.8539962,black
2018-1126-15/08/2019,,Rear End,138.520206,-34.9803788,black
2018-1127-15/08/2019,,Side Swipe,138.5692191,-34.9208651,cyan
2018-1128-15/08/2019,,Right Angle,138.4456483,-35.2771735,yellow
2018-1129-15/08/2019,,Left Road - Out of Control,138.7881969,-34.6077231,brown
2018-1130-15/08/2019,,Right Angle,138.5747789,-34.9315911,yellow
2018-1131-15/08/2019,,Rear End,138.6208818,-34.6845084,black
2018-1132-15/08/2019,,Rear End,138.6291212,-34.9112652,black
2018-1133-15/08/2019,,Right Angle,138.5013084,-34.8043399,yellow
2018-1134-15/08/2019,,Right Angle,138.5467123,-34.8505457,yellow
2018-1135-15/08/2019,,Hit Fixed Object,138.5881467,-34.6915864,blue
2018-1136-15/08/2019,1,Hit Fixed Object,139.3663823,-35.5621717,blue
2018-1137-15/08/2019,,Rear End,138.6793375,-34.6717962,black
2018-1138-15/08/2019,,Rear End,138.6596865,-34.8454923,black
2018-1139-15/08/2019,,Right Angle,138.5231294,-35.0191974,yellow
2018-1140-15/08/2019,,Hit Fixed Object,135.7062307,-34.6425586,blue
2018-1141-15/08/2019,,Side Swipe,138.5662316,-34.9150828,cyan
2018-1142-15/08/2019,,Side Swipe,138.6518744,-34.9142349,cyan
2018-1143-15/08/2019,,Rear End,138.6058737,-34.9268546,black
2018-1144-15/08/2019,,Rear End,138.5565803,-34.9875436,black
2018-1145-15/08/2019,,Right Angle,138.5287619,-35.1033917,yellow
2018-1146-15/08/2019,,Right Angle,138.6091649,-34.972856,yellow
2018-1147-15/08/2019,,Rear End,138.5352726,-34.8805553,black
2018-1148-15/08/2019,,Rear End,138.5590472,-35.087695,black
2018-1149-15/08/2019,,Right Angle,138.8572567,-35.0644816,yellow
2018-1150-15/08/2019,,Rear End,138.6244388,-34.9402026,black
2018-1151-15/08/2019,,Right Angle,138.680041,-34.8285093,yellow
2018-1152-15/08/2019,,Right Angle,133.6737989,-32.1211866,yellow
2018-1153-15/08/2019,,Hit Pedestrian,140.7826863,-37.8290749,azure
2018-1154-15/08/2019,,Hit Parked Vehicle,138.6339428,-34.9534233,green
2018-1155-15/08/2019,,Hit Parked Vehicle,138.5316615,-34.8926063,green
2018-1156-15/08/2019,,Rear End,138.8716605,-34.7641621,black
2018-1157-15/08/2019,,Rear End,138.4774477,-35.2782865,black
2018-1158-15/08/2019,,Right Angle,138.461713,-35.2789195,yellow
2018-1159-15/08/2019,,Right Angle,138.600855,-34.858536,yellow
2018-1160-15/08/2019,,Side Swipe,138.5826018,-34.8532918,cyan
2018-1161-15/08/2019,,Hit Fixed Object,138.6006678,-34.8558986,blue
2018-1162-15/08/2019,,Rear End,138.5733103,-35.0512441,black
2018-1163-15/08/2019,,Side Swipe,138.6344167,-34.8732141,cyan
2018-1164-15/08/2019,,Right Angle,138.5485393,-34.9187616,yellow
2018-1165-15/08/2019,,Rear End,138.6548822,-34.8567214,black
2018-1166-15/08/2019,,Right Angle,138.5820534,-34.9924903,yellow
2018-1167-15/08/2019,,Hit Parked Vehicle,138.6078285,-34.8139241,green
2018-1168-15/08/2019,,Right Angle,138.6012652,-34.8073804,yellow
2018-1169-15/08/2019,,Side Swipe,138.5824914,-34.8491569,cyan
2018-1170-15/08/2019,,Rear End,138.5710821,-34.8739283,black
2018-1171-15/08/2019,,Rear End,138.5274523,-35.1050341,black
2018-1172-15/08/2019,,Side Swipe,138.6714196,-34.8185094,cyan
2018-1173-15/08/2019,,Side Swipe,138.6386768,-34.8969402,cyan
2018-1174-15/08/2019,,Right Angle,138.5670865,-34.9931871,yellow
2018-1175-15/08/2019,,Hit Fixed Object,138.6198275,-35.0389387,blue
2018-1176-15/08/2019,,Hit Fixed Object,140.509688,-34.2690809,blue
2018-1177-15/08/2019,,Right Turn,138.6277839,-34.9479153,gray
2018-1178-15/08/2019,,Hit Parked Vehicle,138.526582,-34.9261625,green
2018-1179-15/08/2019,,Right Turn,138.5890988,-34.9046378,gray
2018-1180-15/08/2019,,Rear End,138.5758674,-34.9302618,black
2018-1181-15/08/2019,,Right Turn,138.5954082,-35.0759796,gray
2018-1182-15/08/2019,,Right Angle,138.5850588,-34.8880882,yellow
2018-1183-15/08/2019,,Side Swipe,138.6218862,-34.6814358,cyan
2018-1184-15/08/2019,,Side Swipe,138.5065325,-35.1375969,cyan
2018-1185-15/08/2019,,Right Angle,138.6226458,-34.9157165,yellow
2018-1186-15/08/2019,,Head On,138.8521254,-34.8235485,ivory
2018-1187-15/08/2019,,Rear End,138.6421243,-34.7494594,black
2018-1188-15/08/2019,,Right Angle,140.7790493,-37.8316811,yellow
2018-1189-15/08/2019,,Head On,138.5752736,-34.9021955,ivory
2018-1190-15/08/2019,,Roll Over,138.7306931,-34.9300788,pink
2018-1191-15/08/2019,,Rear End,139.3836557,-35.2984902,black
2018-1192-15/08/2019,,Rear End,138.5489081,-34.8860576,black
2018-1193-15/08/2019,,Hit Fixed Object,140.333623,-34.7633003,blue
2018-1194-15/08/2019,,Rear End,138.5501429,-34.8504685,black
2018-1195-15/08/2019,,Roll Over,138.6075511,-34.8379599,pink
2018-1196-15/08/2019,,Right Angle,138.57376,-34.9781741,yellow
2018-1197-15/08/2019,,Right Angle,138.6918807,-34.8855507,yellow
2018-1198-15/08/2019,,Right Angle,138.5760354,-34.9947874,yellow
2018-1199-15/08/2019,,Hit Pedestrian,138.6992788,-34.6921132,azure
2018-1200-15/08/2019,,Right Turn,138.6505733,-35.524226,gray
2018-1201-15/08/2019,,Rear End,138.5013484,-34.852392,black
2018-1202-15/08/2019,,Rear End,138.601998,-34.9410784,black
2018-1203-15/08/2019,,Right Turn,138.506892,-35.1060737,gray
2018-1204-15/08/2019,,Rear End,138.6792513,-34.6719273,black
2018-1205-15/08/2019,,Right Angle,138.750507,-34.5344686,yellow
2018-1206-15/08/2019,,Right Turn,138.670778,-34.8572157,gray
2018-1207-15/08/2019,,Rear End,138.7599337,-35.0044094,black
2018-1208-15/08/2019,,Rear End,138.671076,-34.8448841,black
2018-1209-15/08/2019,,Rear End,138.6236661,-34.9293176,black
2018-1210-15/08/2019,,Hit Fixed Object,138.705411,-34.8118615,blue
2018-1211-15/08/2019,,Rear End,138.491385,-34.7937194,black
2018-1212-15/08/2019,,Right Angle,138.5307887,-34.8952711,yellow
2018-1213-15/08/2019,,Right Angle,137.6341361,-33.9273844,yellow
2018-1214-15/08/2019,,Right Angle,138.4802772,-35.2743651,yellow
2018-1215-15/08/2019,,Rear End,138.5717098,-34.8751099,black
2018-1216-15/08/2019,,Rear End,138.5737136,-35.013062,black
2018-1217-15/08/2019,,Hit Parked Vehicle,140.75434,-36.9530691,green
2018-1218-15/08/2019,,Rear End,138.6967772,-33.2161353,black
2018-1219-15/08/2019,,Right Angle,138.6184746,-34.7744125,yellow
2018-1220-15/08/2019,,Roll Over,138.586421,-35.032095,pink
2018-1221-15/08/2019,,Head On,138.8709489,-35.2416421,ivory
2018-1222-15/08/2019,,Rear End,138.550587,-34.8776305,black
2018-1223-15/08/2019,,Roll Over,130.8743601,-31.4545857,pink
2018-1224-15/08/2019,,Rear End,138.5957339,-34.8482892,black
2018-1225-15/08/2019,,Side Swipe,138.4777146,-35.1391249,cyan
2018-1226-15/08/2019,,Right Angle,138.6398057,-34.7873891,yellow
2018-1227-15/08/2019,,Right Angle,138.6082573,-34.9601427,yellow
2018-1228-15/08/2019,,Right Angle,138.6229988,-35.5516668,yellow
2018-1229-15/08/2019,,Right Angle,138.5675555,-34.9176417,yellow
2018-1230-15/08/2019,,Right Angle,138.5339708,-34.9124275,yellow
2018-1231-15/08/2019,,Rear End,138.5707536,-34.9383507,black
2018-1232-15/08/2019,,Hit Fixed Object,139.3313111,-34.4208947,blue
2018-1233-15/08/2019,,Right Turn,138.6010525,-34.8953904,gray
2018-1234-15/08/2019,,Right Turn,138.4935381,-35.1277539,gray
2018-1235-15/08/2019,,Right Turn,140.5185335,-37.5785912,gray
2018-1236-15/08/2019,,Right Turn,138.5947276,-34.8987801,gray
2018-1237-15/08/2019,,Side Swipe,138.5651344,-34.9321132,cyan
2018-1238-15/08/2019,,Left Road - Out of Control,138.5846064,-33.2527644,brown
2018-1239-15/08/2019,,Side Swipe,138.5339708,-34.9124275,cyan
2018-1240-15/08/2019,,Rear End,138.6082932,-34.8369539,black
2018-1241-15/08/2019,,Rear End,138.5190229,-34.9743796,black
2018-1242-15/08/2019,,Right Angle,138.6822823,-34.7132845,yellow
2018-1243-15/08/2019,,Hit Fixed Object,138.6823847,-34.9900793,blue
2018-1244-15/08/2019,,Rear End,138.8066138,-34.6114065,black
2018-1245-15/08/2019,,Right Angle,138.6002823,-34.9343054,yellow
