id,pole_nr,color,area,row,status,x,y,labels
178,36,darkslategray4,T1,T1-10,05-Precom,5.615253332,35.52915853,
179,37,darkslategray4,T1,T1-10,05-Precom,5.615251432,35.52922203,
180,38,darkslategray4,T1,T1-10,05-Precom,5.615249232,35.52929503,
181,1,black,T2,T2-11,06-Commissioning,5.607087832,35.52648713,
182,2,black,T2,T2-11,06-Commissioning,5.607085632,35.52656013,
183,3,black,T2,T2-11,06-Commissioning,5.607083332,35.52663573,
184,4,black,T2,T2-11,06-Commissioning,5.607081132,35.52670873,
185,5,black,T2,T2-11,06-Commissioning,5.607079232,35.52677213,
186,6,black,T2,T2-11,06-Commissioning,5.607077032,35.52684513,
187,7,black,T2,T2-11,06-Commissioning,5.607074832,35.52692083,
188,8,black,T2,T2-11,06-Commissioning,5.607072632,35.52699383,
189,9,black,T2,T2-11,06-Commissioning,5.607070632,35.52705723,
190,10,black,T2,T2-11,06-Commissioning,5.607068432,35.52713023,
191,11,black,T2,T2-11,06-Commissioning,5.607066232,35.52720583,
192,12,black,T2,T2-11,06-Commissioning,5.607064032,35.52727883,
193,13,black,T2,T2-11,06-Commissioning,5.607062132,35.52734213,
194,14,black,T2,T2-11,06-Commissioning,5.607059932,35.52741513,
195,15,black,T2,T2-11,06-Commissioning,5.607057632,35.52749073,
196,16,black,T2,T2-11,06-Commissioning,5.607055432,35.52756373,
197,17,black,T2,T2-11,06-Commissioning,5.607053532,35.52762723,
198,18,black,T2,T2-11,06-Commissioning,5.607051332,35.52770023,
199,21,black,T2,T2-12,06-Commissioning,5.607044932,35.52791243,
200,22,black,T2,T2-12,06-Commissioning,5.607042732,35.52798533,
201,23,black,T2,T2-12,06-Commissioning,5.607040432,35.52806103,
202,24,black,T2,T2-12,06-Commissioning,5.607038232,35.52813403,
203,25,black,T2,T2-12,06-Commissioning,5.607036332,35.52819753,
204,26,black,T2,T2-12,06-Commissioning,5.607034132,35.52827053,
205,27,black,T2,T2-12,06-Commissioning,5.607031832,35.52834623,
206,28,black,T2,T2-12,06-Commissioning,5.607029632,35.52841913,
207,29,black,T2,T2-12,06-Commissioning,5.607027732,35.52848243,
208,30,black,T2,T2-12,06-Commissioning,5.607025532,35.52855543,
209,31,black,T2,T2-12,06-Commissioning,5.607023232,35.52863103,
210,32,black,T2,T2-12,06-Commissioning,5.607021032,35.52870403,
211,33,black,T2,T2-12,06-Commissioning,5.607019132,35.52876733,
212,34,black,T2,T2-12,06-Commissioning,5.607016932,35.52884033,
213,35,black,T2,T2-12,06-Commissioning,5.607014732,35.52891603,
214,36,black,T2,T2-12,06-Commissioning,5.607012532,35.52898903,
215,37,black,T2,T2-12,06-Commissioning,5.607010532,35.52905263,
216,38,black,T2,T2-12,06-Commissioning,5.607008332,35.52912563,
217,1,black,T2,T2-13,06-Commissioning,5.607249432,35.52649043,
218,2,black,T2,T2-13,06-Commissioning,5.607247232,35.52656333,
219,3,black,T2,T2-13,06-Commissioning,5.607244932,35.52663903,
220,4,black,T2,T2-13,06-Commissioning,5.607242732,35.52671203,
221,5,black,T2,T2-13,06-Commissioning,5.607240832,35.52677553,
222,6,black,T2,T2-13,06-Commissioning,5.607238632,35.52684843,
223,7,black,T2,T2-13,06-Commissioning,5.607236332,35.52692413,
224,8,black,T2,T2-13,06-Commissioning,5.607234132,35.52699713,
225,9,black,T2,T2-13,06-Commissioning,5.607232232,35.52706063,
226,10,black,T2,T2-13,06-Commissioning,5.607230032,35.52713353,
227,11,black,T2,T2-13,06-Commissioning,5.607227832,35.52720923,
228,12,black,T2,T2-13,06-Commissioning,5.607225632,35.52728223,
229,13,black,T2,T2-13,06-Commissioning,5.607223732,35.52734553,
230,14,black,T2,T2-13,06-Commissioning,5.607221532,35.52741853,
231,15,black,T2,T2-13,06-Commissioning,5.607219232,35.52749413,
232,16,black,T2,T2-13,06-Commissioning,5.607217032,35.52756713,
233,17,black,T2,T2-13,06-Commissioning,5.607215132,35.52763053,
234,18,black,T2,T2-13,06-Commissioning,5.607212932,35.52770353,
235,21,black,T2,T2-14,06-Commissioning,5.607206532,35.52791573,
236,22,black,T2,T2-14,06-Commissioning,5.607204332,35.52798873,
